Date,Open,High,Low,Close,Volume
13.12.2010 07:00:00.000 GMT+0900,1.34047,1.35114,1.33158,1.3344,875805.8009
20.12.2010 07:00:00.000 GMT+0900,1.33309,1.33523,1.30115,1.30523,681290.4592
27.12.2010 07:00:00.000 GMT+0900,1.3102,1.31683,1.29261,1.30771,569764.842
03.01.2011 07:00:00.000 GMT+0900,1.30706,1.33256,1.29431,1.29567,915674.5247
10.01.2011 07:00:00.000 GMT+0900,1.29654,1.35498,1.29308,1.35355,818775.5306
17.01.2011 07:00:00.000 GMT+0900,1.35034,1.37702,1.33475,1.37564,829680.7706
24.01.2011 07:00:00.000 GMT+0900,1.38007,1.38775,1.36387,1.36886,676164.1699
31.01.2011 07:00:00.000 GMT+0900,1.37351,1.37885,1.33043,1.33897,871402.1989
07.02.2011 07:00:00.000 GMT+0900,1.33817,1.36098,1.33184,1.35155,867298.6915
14.02.2011 07:00:00.000 GMT+0900,1.35239,1.36022,1.34036,1.34919,876406.8239
21.02.2011 07:00:00.000 GMT+0900,1.35096,1.37852,1.34826,1.35114,917838.7859
28.02.2011 07:00:00.000 GMT+0900,1.35447,1.38501,1.35171,1.37897,900925.2538
07.03.2011 07:00:00.000 GMT+0900,1.37875,1.38357,1.36765,1.37104,875780.1693
14.03.2011 06:00:00.000 GMT+0900,1.37589,1.43417,1.3736,1.4236,1032398.9006
21.03.2011 06:00:00.000 GMT+0900,1.42489,1.42731,1.37082,1.37234,794326.6019
28.03.2011 06:00:00.000 GMT+0900,1.37032,1.38023,1.36053,1.36961,816934.5137
04.04.2011 06:00:00.000 GMT+0900,1.36795,1.37967,1.35909,1.37028,815501.3397
11.04.2011 06:00:00.000 GMT+0900,1.36901,1.38758,1.36436,1.36451,870386.2916
18.04.2011 06:00:00.000 GMT+0900,1.36382,1.36768,1.35234,1.35552,745360.9303
25.04.2011 06:00:00.000 GMT+0900,1.35432,1.36298,1.3486,1.34974,815549.22
